kod;marka;model;nazwa;kategoria;zastosowanie;pewnosc;stare_zastosowanie
MO5_AOPR22544565FP230;Aeolus;AGP23;445/65R22.5 Aeolus AGP23 169F TL;ciężarowe;All position;WZORZEC;Oś kierowana
MO2_907751;BFGoodrich;ROUTE CONTROL S;11R22.5 BFGoodrich ROUTE CONTROL S 148/145L FRONT;ciężarowe;All position;WZORZEC;Oś kierowana
MO2_520276;BFGoodrich;ROUTE CONTROL S;265/70R19.5 BFGoodrich ROUTE CONTROL S 140/138M M+S FRONT;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR225F3000KDMR1;Barum;BD200M;13R22.5 Barum BD200M 156/150K 18PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22544565KT431;Barum;BT43;445/65R22.5 Barum BT43 169K 20PR TL M+S;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22544565JS490;Barum;BS49;445/65R22.5 Barum BS49 169J 20PR TL M+S;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22538555KF0R0;Barum;BF200R;385/55R22.5 Barum BF200R 160K 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22531580LF0R1;Barum;BF200R;315/80R22.5 Barum BF200R 156/150L 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22531580LD0R0;Barum;BD200R;315/80R22.5 Barum BD200R 156/151L 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22531580KDMR1;Barum;BD200M napęd;315/80R22.5 Barum BD200M napęd 156/150K 18PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22531570LF0R1;Barum;BF200R;315/70R22.5 Barum BF200R 156/150L 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22531560LF0R2;Barum;BF200R+;315/60R22.5 Barum BF200R+ 154/148L 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22531560LD0R0;Barum;BD200R;315/60R22.5 Barum BD200R 152/148L 20PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR22529560LD0R0;Barum;BD200R;295/60R22.5 Barum BD200R 150/147L 18PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR19544545JORB0;Barum;BT300R;445/45R19.5 Barum BT300R 160J 22PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR19526570MD0R0;Barum;BD200R;265/70R19.5 Barum BD200R 140/138M 14PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
MO5_CBCR17522575MFRO1;Barum;BF200R;225/75R17.5 Barum BF200R 129/127M 12PR TL M+S 3PMSF;ciężarowe;All position;WZORZEC;Oś kierowana
