id;eid;eanCode;indexCatalogue;name;additionalName;description;basePriceNet;priceNet;basePrice;price;vatCode;vatRate;currency;category;producer;weight;availabilityCount;promotionInfo;imageUrls;Stan;Rodzaj bieżnika;Konstrukcja opony;Typ;Indeks nośności;Ilość płócien;Zastosowanie;Rozmiar opony;Stan opony;Średnica felgi;Indeks handlowy;Indeks katalogowy;Indeks producenta
4396;6742;3286340564212;5208538FIP85;Opona 520/85R38 Firestone Performer 85;155D/152E TL (20.8R38);;4510.00;4260.00;5547.30;5239.80;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Firestone;Firestone;;6.0000;;https://static.abstore.pl/img/grasdorf/2fb738a8-23c8-4296-aca3-8d2e01065a37/l/opona-520%252F85r38-firestone-performer-85.jpg;nowa;;Radialna;Bezdętkowa (TL);155D/152E (3875 kg przy 65 km/h);;Opona rolnicza;20.8 (520/85);;38;;5208538FIP85;
4146;6329;8906117621799;4807024CeatFAR70;Opona 480/70R24 Ceat FARMAX R70;138A8/138B TL;;1790.00;1790.00;2201.70;2201.70;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Pozostałe;Ceat;;2.0000;;https://static.abstore.pl/img/grasdorf/e7b8c681-353d-4d67-b6b1-4841adbf85c0/l/opona-480%252F70r24-ceat-farmax-r70.png,https://static.abstore.pl/img/grasdorf/38b5c53a-a56f-4ebc-8dc7-619d85c8f46a/l/opona-480%252F70r24-ceat-farmax-r70.jpg,https://static.abstore.pl/img/grasdorf/8a48fa0e-a249-47b5-b6f3-42cb3ba49fb6/l/opona-480%252F70r24-ceat-farmax-r70.jpg,https://static.abstore.pl/img/grasdorf/53c16771-6482-41f0-b93c-db9ca1ae150a/l/opona-480%252F70r24-ceat-farmax-r70.jpg,https://static.abstore.pl/img/grasdorf/f6954c2b-acee-4a39-ad46-963944c5292b/l/opona-480%252F70r24-ceat-farmax-r70.jpg,https://static.abstore.pl/img/grasdorf/828caa87-2d9b-4e3d-92cb-9c0f55edafd3/l/opona-480%252F70r24-ceat-farmax-r70.jpg,https://static.abstore.pl/img/grasdorf/c71f9654-d875-40ba-9cf1-6a6cdfc93d9d/l/opona-480%252F70r24-ceat-farmax-r70.png,https://static.abstore.pl/img/grasdorf/4dfc187d-6dc8-4d0d-9121-f9391baebc8a/l/opona-480%252F70r24-ceat-farmax-r70.jpg;nowa;FARMAX R70;Radialna;Bezdętkowa (TL);138A8/138B (2360 kg przy 40 km/h);;Opona rolnicza;480/70;;24;;4807024CeatFAR70;
4564;6908;3286340696517;6506542BRVT-T;Opona VF650/65R42 Bridgestone VT-Tractor;170D/167E TL;;8710.00;8220.00;10713.30;10110.60;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Bridgestone;Bridgestone;;4.0000;;https://static.abstore.pl/img/grasdorf/849c0bbc-e341-4a4b-bad3-fc01f2dcae52/l/opona-vf650%252F65r42-bridgestone-vt-tractor.jpg;nowa;;Radialna;Bezdętkowa (TL);170D/167E (6000 kg przy 65 km/h);;Opona rolnicza;650/65;;42;;6506542BRVT-T;
4550;6894;3286340695213;5406530BRVT-T;Opona VF540/65R30 Bridgestone VT-Tractor;155D/152E TL;;4180.00;4180.00;5141.40;5141.40;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Bridgestone;Bridgestone;;2.0000;;https://static.abstore.pl/img/grasdorf/e349dd66-9e4c-4ddf-88be-e4d1aa65033f/l/opona-vf540%252F65r30-bridgestone-vt-tractor.jpg;nowa;;Radialna;Bezdętkowa (TL);155D/152E (3875 kg przy 65 km/h);;Opona rolnicza;540/65;;30;;5406530BRVT-T;
4393;6739;3286340564014;4208538FIP85;Opona 420/85R38 Firestone Performer 85;144D/141E TL (16.9R38);;2850.00;2770.00;3505.50;3407.10;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Firestone;Firestone;;2.0000;;https://static.abstore.pl/img/grasdorf/b79850cf-3dd1-4ce7-8e77-b81d514490cb/l/opona-420%252F85r38-firestone-performer-85.jpg;nowa;;Radialna;Bezdętkowa (TL);144D/141E (2800 kg przy 65 km/h);;Opona rolnicza;16.9 (420/85, 420/80, 440/80);;38;;4208538FIP85;
4975;7333;8903635009528;11580153A323tl12;Opona 11.5/80-15.3 Alliance A323 12PR TL;;;540.00;490.00;664.20;602.70;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Alliance;Alliance;;4.0000;;https://static.abstore.pl/img/grasdorf/c0c8f4c5-2f35-4b35-92e3-b96c60d069dd/l/opona-11-5%252F80-15-3-alliance-a323-12pr-tl.png;nowa;;Diagonalna;Bezdętkowa (TL);;12 PR;Opona rolnicza;11.5/80;;15.3;30080153A323tl12;11580153A323tl12;
3998;6181;8906117622727;10075153CeatAWI30514;Opona 10.0/75-15.3 Ceat AWI 305 14PR TL;;;270.00;270.00;332.10;332.10;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Pozostałe;Ceat;;3.0000;;https://static.abstore.pl/img/grasdorf/a5161cd5-1032-4aea-81f7-ca446bf6b226/l/opona-10-0%252F75-15-3-ceat-awi-305-14pr-tl.jpg;nowa;AWI 305;Diagonalna;Bezdętkowa (TL);;14 PR;Opona rolnicza;10.0/75;;15.3;1075153;10075153CeatAWI30514;
4329;6651;8903635024972;60055265Af644f20tt;Opona 600/55-26.5 Alliance F-644;FORESTAR III 20PR TT;;6860.00;4610.00;8437.80;5670.30;23;23.00;PLN;Opony/Opony leśne;Alliance;;2.0000;;https://static.abstore.pl/img/grasdorf/10f663b9-7003-4399-a25e-9eb60ba14dfd/l/opona-600%252F55-26-5-alliance-f-644.png;nowa;F-644 FORESTAR III;Diagonalna;Dętkowa (TT);;20 PR;Opona leśna;600/55;;26,5;;60055265Af644f20tt;
4971;7431;8903635056331;6506542Aaii158;Opona 650/65R42 Alliance AGRISTAR II;158D TL;;5600.00;5020.00;6888.00;6174.60;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Opony Alliance;Alliance;;2.0000;;https://static.abstore.pl/img/grasdorf/7379e7a8-c85a-4ec3-bf5f-5f0e99d835b7/l/opona-650%252F65r42-alliance-agristar-ii.jpg;nowa;;Radialna;Bezdętkowa (TL);158D (4250 kg przy 65 km/h);;Opona rolnicza;650/65;;42;;6506542Aaii158;
4065;6248;8906117622062;2709532CeatFARC;Opona 270/95R32 Ceat FARMAX RC;133D/136A8 TL;;1150.00;1150.00;1414.50;1414.50;23;23.00;PLN;Opony/Opony rolnicze i przemysłowe/Pozostałe;Ceat;;4.0000;;https://static.abstore.pl/img/grasdorf/eb1f6d02-59ae-4176-b929-18e48cd180aa/l/opona-270%252F95r32-ceat-farmax-rc.png;nowa;FARMAX RC;Radialna;Bezdętkowa (TL);133D/136A8 (2240 kg przy 40 km/h);;Opona rolnicza;11.2 (270/95, 280/85);;32;;2709532CeatFARC;
