kod producenta;symbol handlopex;producent;nazwa;szerokosc;profil;srednica;indeks pr.;indeks nosn.;ilosc;cena det.;cena hurt netto;ean;opor toczenia;przyczepnosc;halas;dot;cena fix;waga;maxDpdQty;labelNoise;labelSnow;labelIce;labelEprel;isElectric;
750672;BBCR225295600BHD2;Bandag Bridgestone;295/60  R22.5  HD02 270  BANDAG BRIDGESTONE  Bie¿nikowana  M+S  3PMSF KARKAS BRIDGESTONE;295;60;22.5;0;;8;1825;863.71;;;;;2025,2026;0;50.200;0;;1;0;0;0;
726904;BBCR2253157007490;Bandag Bridgestone;315/70  R22.5  M749 270  BANDAG BRIDGESTONE  Bie¿nikowana  M+S  3PMSF KARKAS BRIDGESTONE;315;70;22.5;0;;13;1732;884.95;;;;;2024;0;59.100;0;;1;0;0;0;
726904;BBCR2253157007493;Bandag Bridgestone;315/70  R22.5  M749 270  BANDAG BRIDGESTONE  Bie¿nikowana  M+S  3PMSF KARKAS MICHELN;315;70;22.5;0;;4;1732;884.95;;;;;2025,2026;0;59.100;0;;1;0;0;0;
726904;BBCR2253157007496;Bandag Bridgestone;315/70  R22.5  M749 280  BANDAG BRIDGESTONE  Bie¿nikowana  M+S  3PMSF KARKAS MICHELN;315;70;22.5;0;;4;1732;905.47;;;;;2024,2026;0;59.100;0;;1;0;0;0;
750577;BBCR225315700HD20;Bandag Bridgestone;315/70  R22.5  HD2 280  BANDAG BRIDGESTONE  Bie¿nikowana  M+S  3PMSF KARKAS MICHELIN;315;70;22.5;0;;4;1778;774.2;;;;;2026;0;60.100;0;;1;0;0;0;
750710;BBCR225385650R2T1;Bandag Bridgestone;385/65  R22.5  RT2 300  BANDAG BRIDGESTONE  Bie¿nikowana  M+S  3PMSF KARKAS MICHELIN;385;65;22.5;0;;2;1716;967.1;;;;;2024;0;71.500;0;;1;0;0;0;
750446;BBCR225385650T2H2;Bandag Bridgestone;385/65  R22.5  HT2 300  BANDAG BRIDGESTONE  Bie¿nikowana  M+S  3PMSF KARKAS MICHELIN;385;65;22.5;0;;2;1798;774.2;;;;;2025,2026;0;71.500;0;;1;0;0;0;
19728;BFCR22529580M24F0;Firestone;295/80  R22.5  FS424  [152/148] M  TL  M+S  3PMSF  NEW;295;80;22.5;M;152/148;3;4055;1396.5;3286341972818;C;B;69dB;2026;0;62.100;0;A;1;0;1840975;0;
19732;BFCR22531570L24F0;Firestone;315/70  R22.5  FS424  [154/150] L  TL  M+S  3PMSF  NEW;315;70;22.5;L;154/150;2;4264;1416.1;3286341973211;B;B;71dB;2026;0;60.400;0;A;1;0;1719201;0;
19737;BFCR22531570LFD20;Firestone;315/70  R22.5  FD624  [154L/152M]  TL  M+S  3PMSF  NEW;315;70;22.5;L;154L/152M;4;4264;1429.82;3286341973716;C;C;74dB;2025;0;62.100;0;B;1;0;1648378;0;
17049;BFCR22538565KFT41;Firestone;385/65  R22.5  FT524  [160] K  TL  M+S  3PMSF  NEW;385;65;22.5;K;160;2;2662;1449.42;3286341704914;B;B;69dB;2026;0;66.900;0;A;1;0;1819380;0;
25970;BFPR250G23000MBT0;Firestone;23.5  R25  MBT MS DE2  E-3/L-3 **  [185 B]  TL;23.5;82;25;0;185 B;2;13500;5300.82;;;;;2025;0;250.000;0;;0;0;0;0;
25973;BFPR250G75000MBT0;Firestone;17.5  R25  MBT MS DE2  E-3/L-3 **  [167 B]  TL;17.5;82;25;0;167 B;2;5840;2788.1;;;;;2025;0;140.000;0;;0;0;0;0;
4124;BFRR240340858PX80;Firestone;340/85  R24  (13.6  R24)  PERFORMER 85 XL  [136 A8/136 B]  TL;340;85;24;A8;136 A8/136 B;2;3045;1135.82;3286340412414;;;;2026;0;63.500;0;;0;0;0;0;
31373;BRCR22538565K68P6;Bridgestone;385/65  R22.5  R168+  [160] K  TL  M+S  3PMSF;385;65;22.5;K;160;4;5437;1592.5;3286343137314;C;B;71dB;2026;0;74.100;0;A;1;0;1574452;0;
10852;BRCR22538565KURT0;Bridgestone;385/65  R22.5  DURT2  [160] K  TL  M+S   3PMSF;385;65;22.5;K;160;12;5723;1612.1;3286341085211;B;B;70dB;2026;0;63.700;0;A;1;0;383552;0;
5225570000;CCCR22529560LH3D1;Continental;295/60  R22.5  CONTI HYBRID HD3  18PR  [150/147] L  TL  M+S  3PMSF;295;60;22.5;L;150/147;3;3053;1802.22;4019238083613;D;C;73dB;2026;0;52.200;0;A;1;0;1026768;0;
5127960000;CCCR22531570L5SH0;Continental;315/70  R22.5  CONTI ECO HS5  20PR  [156/150] L  TL  M+S  3PMSF;315;70;22.5;L;156/150;6;3313;1890.42;4019238084566;B;B;71dB;2025;0;60.100;0;A;1;0;1076712;0;
5126270000;CCCR22531570LCH50;Continental;315/70  R22.5  CONTI HYBRID HS5  20PR  [156/150] L  TL  M+S  3PMSF;315;70;22.5;L;156/150;2;3266;1910.02;4019238046120;C;B;70dB;2025,2026;0;61.000;0;A;1;0;710214;0;
5224440000;CCCR22531570LH5D0;Continental;315/70  R22.5  CONTI HYBRID HD5  18PR  [154/150] L  TL  M+S  3PMSF;315;70;22.5;L;154/150;4;3217;1910.02;4019238046137;C;C;76dB;2025;0;61.000;0;B;1;0;710193;0;
5225280000;CCCR22531570LHD50;Continental;315/70  R22.5  CONTI ECO HD5  18PR  [154/150] L  TL  M+S  3PMSF;315;70;22.5;L;154/150;4;3313;1965.88;4019238078077;B;C;73dB;2026;0;62.100;0;A;1;0;777615;0;
5128260000;CCCR22531580L5SH0;Continental;315/80  R22.5  CONTI ECO HS5  18PR  [156/150] L  TL  M+S  3PMSF;315;80;22.5;L;156/150;4;3283;1821.82;4019238090406;B;B;71dB;2025;0;65.100;0;A;1;0;1176741;0;
5127050000;CCCR22531580LCH50;Continental;315/80  R22.5  CONTI HYBRID HS5  18PR  [156/150] L  TL  M+S  3PMSF;315;80;22.5;L;156/150;6;3283;1959.02;4019238067811;C;B;71dB;2024,2026;0;64.000;0;A;1;0;710350;0;
5251860000;CCCR22531580MHED0;Continental;315/80  R22.5  HDC1 ED  18PR  [156/150] K  TL  M+S  3PMSF;315;80;22.5;M;156/150;3;3315;1831.62;4019238032574;D;C;74dB;2024;0;71.500;0;B;1;0;525701;0;
5128600000;CCCR22538565K5SH0;Continental;385/65  R22.5  CONTI ECO HS5  20PR  [164] K  TL  M+S  3PMSF;385;65;22.5;K;164;4;3482;2037.42;4019238099546;B;B;71dB;2025;0;70.100;0;A;1;0;1411068;0;
5321890000;CCCR22542565KHT22;Continental;425/65  R22.5  HTR2  20PR  [165] K  TL  M+S;425;65;22.5;K;165;4;4066;2478.42;4019238032581;B;C;73dB;2025;0;80.100;0;B;0;0;483143;0;
5130620000;CCCZ22531580LHWW0;Continental;315/80  R22.5  HSW2+ COACH  18PR  [156/150] L  TL  M+S  3PMSF;315;80;22.5;L;156/150;2;3154;1723.82;4019238072617;C;C;73dB;2024;0;66.700;0;B;1;0;659028;0;
5740150000;CCPR20036580KM811;Continental;365/80  R20  (14.5  R20)  MPT 81  [152 K]  TL  M+S;365;80;20;K;152 K;4;3659;2400.02;4019238026016;;;;2025;0;68.500;0;;0;0;0;0;
115223852C020KTH2U;CLCR22538565K2HT0;CELESTIS;385/65  R22.5  CTH2  20PR  [164K/158L]  TL  M+S  3PMSF;385;65;22.5;K;164K/158L;6;1311;861.42;8906140922696;B;C;73dB;2026;0;74.000;0;B;1;0;0;0;
107343;CTCR22529580MX3D0;CEAT;295/80  R22.5  WINSUPER-X3-D  18PR  [154/149] M  TL  M+S  3PMSF;295;80;22.5;M;154/149;4;1626.04;900.62;8904288103892;D;B;71dB;2025;0;68.700;0;A;1;0;1140605;0;
113287W2024;CTCR22531560LWES1;CEAT;315/60  R22.5  WINMILE-S  20PR  [154/150] L  TL  M+S  3PMSF  DOT2024;315;60;22.5;L;154/150;6;1477.66;802.62;8904288108224W2;C;B;72dB;2024;0;57.300;0;B;1;0;1905597;0;
106920;CTCR22531570LWED0;CEAT;315/70  R22.5  WINMILE-D  [154/150] L  TL  M+S  3PMSF;315;70;22.5;L;154/150;4;1807.14;1028.02;8904288103168;D;B;75dB;2025;0;65.800;0;B;1;0;575343;0;
106324;CTCR22531570LWES0;CEAT;315/70  R22.5  WINMILE-S  [156/150] L  TL  M+S  3PMSF;315;70;22.5;L;156/150;2;1807.16;1014.3;8904288102758;C;B;71dB;2025;0;62.800;0;A;1;0;575290;0;
106919;CTCR22531580LWED0;CEAT;315/80  R22.5  WINMILE-D  [156/150] L  TL  M+S  3PMSF;315;80;22.5;L;156/150;4;1915.83;1047.62;8904288103182;C;B;75dB;2025;0;71.700;0;B;1;0;563651;0;
106439;CTCR22531580LWES0;CEAT;315/80  R22.5  WINMILE-S  [156/150] L  TL  M+S  3PMSF;315;80;22.5;L;156/150;4;1851.44;1024.1;8904288103175;C;B;71dB;2025;0;68.100;0;A;1;0;563643;0;
113087;CTCR22538565KWET0;CEAT;385/65  R22.5  WINMILE-T  [164] K  TL  M+S  3PMSF;385;65;22.5;K;164;4;1964.13;1106.42;8904288103199;B;B;67dB;2025;0;75.100;0;A;1;0;1459332;0;
178425;DCPR250H4000ERM80;Double Coin;14.00  R25  (385/95  R25)  REM8  [170 F]  TL  80km/h;14.00;82;25;E;170 F;2;5000;2507.82;;;;;2025;0;128.400;0;;0;0;0;0;
DBB7410TH1734AF2;EGCR17521575MGHA0;GOODTRIP;215/75  R17.5  GHA20 (GOODTRIP)  14PR  [128/126] M  TL  M+S  3PMSF;215;75;17.5;M;128/126;3;552.29;367.5;8859625701159;D;B;74dB;2026;0;27.500;0;B;1;0;1589655;0;
DBB7410TH1766AF2;EGCR17523575KGHA0;GOODTRIP;235/75  R17.5  GHA20 (GOODTRIP)  16PR  [143/141] K  TL  M+S  3PMSF;235;75;17.5;K;143/141;3;649.76;420.42;8859625701241;D;B;74dB;2026;0;30.100;0;B;1;0;1589666;0;
ECA7310TH1766DS1;EGCR17523575MGH90;GOODTRIP;235/75  R17.5  GHD22 (GOODTRIP)  14PR  [132/130] M  TL  M+S  3PMSF;235;75;17.5;M;132/130;4;684;416.5;8859625701951;E;C;73dB;2024;0;30.100;0;A;1;0;1817710;0;
DBB7410TH1764AF2;EGCR19524570MGHA1;GOODTRIP;245/70  R19.5  GHA20 (GOODTRIP)  18PR  [141/140] K  TL  M+S  3PMSF;245;70;19.5;M;141/140;4;722.85;459.62;8859625701302;D;B;74dB;2025;0;35.400;0;B;1;0;1589668;0;
DBB7410TH170FAF2;EGCR19528570KGHA0;GOODTRIP;285/70  R19.5  GHA20 (GOODTRIP)  18PR  [150/148] K  TL  M+S  3PMSF;285;70;19.5;K;150/148;2;1053;577.22;8859625701364;D;B;74dB;2026;0;44.500;0;B;1;0;1589682;0;
CAB7210TH17674C5;EGCR19543550JGH20;GOODTRIP;435/50  R19.5  GHT22 TRAILER (GOODTRIP)  22PR  [160] J  TL  M+S  3PMSF;435;50;19.5;J;160;12;1461.95;959.42;8859625701036;C;A;72dB;2026;0;62.400;0;B;1;0;1226877;0;
CAB7210TH17684C5;EGCR19544545JGH20;GOODTRIP;445/45  R19.5  GHT22 TRAILER (GOODTRIP)  22PR  [160] J  TL  M+S  3PMSF;445;45;19.5;J;160;4;1437.59;910.42;8859625701043;C;A;72dB;2026;0;63.400;0;B;1;0;1226899;0;
CBA7010TH1720AF2;EGCR22529580MGHA0;GOODTRIP;295/80  R22.5  GHA20 (GOODTRIP)  18PR  [154/149] M  TL  M+S  3PMSF;295;80;22.5;M;154/149;10;1368;734.02;8859625700015;C;B;70dB;2025;0;60.100;0;A;1;0;1220868;0;
DCB7510TH1720AE2;EGCR22529580MGHD0;GOODTRIP;295/80  R22.5  GHD20 (GOODTRIP)  18PR  [154/149] M  TL  M+S  3PMSF;295;80;22.5;M;154/149;8;1315.76;773.22;8859625700039;D;C;74dB;2025;0;61.200;0;B;1;0;1220887;0;
CBA7010TH1765AF2;EGCR22531570MGHA0;GOODTRIP;315/70  R22.5  GHA20 (GOODTRIP)  20PR  [154/151] M  TL  M+S  3PMSF;315;70;22.5;M;154/151;2;1250.78;773.22;8859625700053;C;B;70dB;2025;0;59.100;0;A;1;0;1220869;0;
DCB7510TH1765AE2;EGCR22531570MGHD0;GOODTRIP;315/70  R22.5  GHD20 (GOODTRIP)  20PR  [154/151] M  TL  M+S  3PMSF;315;70;22.5;M;154/151;4;1298.19;832.02;8859625700077;D;C;75dB;2025,2026;0;59.100;0;B;1;0;1220888;0;
