id;ean;producent;bieznik;rozmiar;nosnosc;predkosc;tl/tt;płotna;cena;magazyn;waga;kategoria;sezon 
106541;8903094031443;BKT;FLOT 648;385/65-22.5;148/144;A8/B;TL;18;1400;0;57;inne;wielosezonowe 
106545;8903094006816;BKT;FL 252;5.00-8;;;TT;8;145;0;;przemysłowe;wielosezonowe 
106547;8903094020928;BKT;TF 9090;6.00-16;88/80;A6/A8;TT;6;198;1;10;rolnicze;wielosezonowe 
106548;8903094021086;BKT;TF 9090;7.50-16;98/90;A6/A8;TT;6;285;2;15;rolnicze;wielosezonowe 
106549;;BKT;TF 9090;7.50-20;109/101;A6/A8;TT;8;400;0;18.6;rolnicze;wielosezonowe 
106550;;BKT;TR 135;12.4-24;121/118;A6/A8;TT;8;885;0;40;rolnicze;wielosezonowe 
106551;8903094003457;BKT;TR 135;14.9-24;128/124;A6/A8;TT;8;1150;0;55;rolnicze;wielosezonowe 
106552;;BKT;TR 135;18.4-30;149;A6;TT;12;2100;0;97;rolnicze;wielosezonowe 
106553;8903094003235;BKT;TR 135;12.4-32;124/121;A6/A8;TT;8;1250;0;49;rolnicze;wielosezonowe 
106554;;BKT;TR 135;13.6-36;131;A6;TT;8;1530;1;65;rolnicze;wielosezonowe 
106555;;BKT;TR 135;13.6-38;131/127;A6/A8;TT;8;1600;1;68;inne;wielosezonowe 
106556;8903094003075;BKT;TR 135;11.2-28;118/114;A6/A8;TT;8;880;2;36;rolnicze;wielosezonowe 
106557;8903094003198;BKT;TR 135;12.4-28;123/120;A6/A8;TT;8;950;2;45;rolnicze;wielosezonowe 
106558;8903094003501;BKT;TR 135;14.9-28;130;A6;TT;8;1214;2;63;rolnicze;wielosezonowe 
106559;8903094006878;BKT;PT - HD;6.50-10;;;TT;10;320;0;15;przemysłowe;wielosezonowe 
106560;8903094009367;BKT;AW 702;11.5/80-15.3;131;A8;TL;10;420;0;21;rolnicze;wielosezonowe 
106561;;BKT;TR 135;16.9-34;139/135;A6/A8;TT;8;2000;0;95;rolnicze;wielosezonowe 
106562;;BKT;TR 135;11.2-24;116/112;A6/A8;TT;8;790;0;32;rolnicze;wielosezonowe 
106563;8903094002689;BKT;AS 2001;16.9-28;135;A6;TT;8;1750;0;81;rolnicze;wielosezonowe 
106564;8903094007806;BKT;PT - HD;6.00-9;;;TT;10;270;0;12;przemysłowe;wielosezonowe 
106565;8903094007219;BKT;PL 801;7.00-12;;;TT;14;375;0;17;przemysłowe;wielosezonowe 
106566;8903094007790;BKT;PT - HD;5.00-8;;;TT;10;167;0;;przemysłowe;wielosezonowe 
106567;8903094020584;BKT;TF 8181;6.00-16;88/80;A6/A8;TT;6;220;0;10;rolnicze;wielosezonowe 
106568;8903094020614;BKT;TF 8181;6.50-16;91/83;A6/A8;TT;6;242;1;11.5;rolnicze;wielosezonowe 
106569;8903094021024;BKT;TF 9090;6.50-16;91/83;A6/A8;TT;6;215;0;11;rolnicze;wielosezonowe 
106570;8903094020645;BKT;TF 8181;7.50-16;98/90;A6/A8;TT;6;300;0;15;rolnicze;wielosezonowe 
106571;;BKT;TF 9090;9.00-16;115/108;A6/A8;TT;10;445;0;24;rolnicze;wielosezonowe 
106572;;BKT;TF 8181;7.50-20;103/96;A6/A8;TT;6;390;0;18;rolnicze;wielosezonowe 
106573;8903094003570;BKT;TR 135;16.9-24;133/129;A6/A8;TT;8;1500;1;68;rolnicze;wielosezonowe 
106574;8903094002795;BKT;AS 2001;18.4-26;146;A6;TT;12;2000;1;89;rolnicze;wielosezonowe 
106575;8903094004027;BKT;TR 135;23.1-26;153/149A8;A6/;TL;12;3690;1;153;rolnicze;wielosezonowe 
