kod,nazwa,dostawca,ean_source_status,ean_candidates
MO3_1657018fqh63818,"16.5/70-18 Forerunner QH638 18PR TT",MO3,,
MO3_23513TR,"23x5-13 Trelleborg EliteXP std 60J",MO3,,
MO3_2708036MIT,"270/80R36 Mitas AC 90 134A8/131B TL",MO3,,
MO3_31560225dd,"315/60R22.5 Delcora TRA-6 155D TL demo",MO3,,
MO3_38565225b,"385/65R22.5 Bandenmarkt Y1 160F TL",MO3,,
MO3_4608534ma2demo,"460/85R34 Michelin AGRIBIB 2 152A8/152B TL",MO3,,
MO3_5406530Mdemo,"540/65R30 Michelin MULTIBIB 143D TL",MO3,,
MO3_6007030ademo,"600/70R30 Alliance AGRISTAR II 70 152D TL",MO3,,
MO3_6207042fidemo,"620/70R42 Firestone Maxi Traction 166D/163E TL",MO3,,
MO3_7107542TR900demo,"710/75R42 Trelleborg TM 900 HP 175D/172E TL",MO3,,
MO4_BFPR250G75000MBT0,"17.5R25 Firestone MBT MS DE2 ** E-3/L-3 167B TL",MO4,,
MO4_BFPR250G23000MBT0,"23.5R25 Firestone MBT MS DE2 ** E-3/L-3 185B TL",MO4,,
MO4_DCPR250H4000ERM80,"385/95R25 Double Coin REM8 70km/h 170E TL",MO4,,
MO5_LLCR17526570MKLS3,"265/70R17.5 LingLong KLS200 140/138M 16PR TL M+S 3PMSF",MO5,,
MO5_MCRD160E60006AS70,"6.00-16 Cultor AS FRONT 07 86A8 8PR TT",MO5,,
MO5_OTRR380650658AGA0,"650/65R38 GTK AGR ALFA 166A8/163D TL",MO5,,
MO9_67708,"600/65R23 BKT BANDENMARK KARGO RADIAL 184 180D TL",MO9,,
